,delta,alpha,beta
5973,0.5973,0.5843999529879862,0.9937686795792956
5974,0.5974,0.5845156809070212,0.9937774038719155
5975,0.5975,0.5846313925353172,0.993786117060787
5976,0.5976,0.5847470878886559,0.9937948191599668
5977,0.5977,0.5848627669828013,0.9938035101834912
5978,0.5978,0.5849784298334979,0.9938121901453758
5979,0.5979,0.5850940764564714,0.9938208590596154
5980,0.598,0.5852097068674283,0.9938295169401841
5981,0.5981000000000001,0.5853253210820573,0.9938381638010358
5982,0.5982000000000001,0.5854409191160267,0.9938467996561038
5983,0.5983,0.5855565009849873,0.9938554245193006
5984,0.5984,0.5856720667045708,0.9938640384045188
5985,0.5985,0.5857876162903898,0.9938726413256299
5986,0.5986,0.5859031497580387,0.9938812332964857
5987,0.5987,0.5860186671230934,0.9938898143309174
5988,0.5988,0.5861341684011104,0.9938983844427358
5989,0.5989,0.5862496536076287,0.9939069436457317
5990,0.599,0.5863651227581674,0.9939154919536755
5991,0.5991000000000001,0.5864805758682289,0.9939240293803175
5992,0.5992000000000001,0.5865960129532954,0.993932555939388
5993,0.5993,0.5867114340288316,0.993941071644597
5994,0.5994,0.5868268391102838,0.9939495765096346
5995,0.5995,0.5869422282130795,0.9939580705481706
5996,0.5996,0.5870576013526281,0.9939665537738553
5997,0.5997,0.5871729585443205,0.9939750262003186
5998,0.5998,0.5872882998035299,0.993983487841171
5999,0.5999,0.5874036251456106,0.9939919387100025
6000,0.6,0.5875189345858992,0.9940003788203837
6001,0.6001000000000001,0.5876342281397142,0.9940088081858656
6002,0.6002000000000001,0.5877495058223549,0.9940172268199787
6003,0.6003000000000001,0.5878647676491038,0.9940256347362346
6004,0.6004,0.5879800136352246,0.9940340319481248
6005,0.6005,0.5880952437959633,0.9940424184691212
6006,0.6006,0.5882104581465477,0.9940507943126762
6007,0.6007,0.5883256567021877,0.9940591594922225
6008,0.6008,0.5884408394780751,0.9940675140211732
6009,0.6009,0.5885560064893841,0.9940758579129223
6010,0.601,0.5886711577512709,0.994084191180844
6011,0.6011000000000001,0.588786293278874,0.9940925138382932
6012,0.6012000000000001,0.5889014130873135,0.9941008258986054
6013,0.6013000000000001,0.5890165171916922,0.9941091273750966
6014,0.6014,0.5891316056070951,0.9941174182810637
6015,0.6015,0.5892466783485897,0.9941256986297844
6016,0.6016,0.589361735431225,0.9941339684345167
6017,0.6017,0.5894767768700339,0.9941422277085001
6018,0.6018,0.5895918026800299,0.9941504764649544
6019,0.6019,0.5897068128762099,0.9941587147170803
6020,0.602,0.589821807473553,0.9941669424780596
6021,0.6021000000000001,0.5899367864870213,0.9941751597610551
6022,0.6022000000000001,0.5900517499315583,0.9941833665792102
6023,0.6023000000000001,0.590166697822091,0.9941915629456498
6024,0.6024,0.5902816301735285,0.9941997488734795
6025,0.6025,0.5903965470007628,0.9942079243757861
6026,0.6026,0.5905114483186684,0.9942160894656376
6027,0.6027,0.5906263341421022,0.9942242441560828
6028,0.6028,0.5907412044859041,0.9942323884601522
6029,0.6029,0.5908560593648966,0.9942405223908571
6030,0.603,0.5909708987938854,0.9942486459611906
6031,0.6031000000000001,0.5910857227876583,0.9942567591841263
6032,0.6032000000000001,0.5912005313609858,0.9942648620726197
6033,0.6033000000000001,0.5913153245286222,0.9942729546396076
6034,0.6034,0.5914301023053038,0.9942810368980081
6035,0.6035,0.5915448647057503,0.9942891088607206
6036,0.6036,0.5916596117446641,0.9942971705406264
